hazard_label,surface_type,weather_condition,bounding_box_area_px,aspect_ratio,intensity_contrast,edge_density,depth_est_cm,repair_urgency_score,is_hazardous
Pothole,Concrete,Clear,6373.2,1.45,61.45,0.378,17.4,0.863,1
Surface Crack,Concrete,Overcast,2651.6,3.93,56.3,0.576,1.7,0.436,1
Pothole,Asphalt,Clear,4857.2,1.14,71.68,0.348,7.0,0.4,1
Road Debris,Asphalt,Night / Low Light,3797.9,1.57,46.1,0.369,8.4,0.616,1
Normal Clear,Concrete,Night / Low Light,330.1,1.01,17.68,0.11,0.0,0.02,0
Surface Crack,Concrete,Rainy,2397.6,5.75,41.65,0.6,1.3,0.434,1
Pothole,Asphalt,Clear,4736.1,0.72,72.12,0.4,8.5,0.605,1
Pothole,Asphalt,Rainy,5324.8,1.63,54.14,0.327,8.6,0.472,1
Surface Crack,Asphalt,Clear,1812.5,1.53,38.07,0.716,2.5,0.621,1
Pothole,Asphalt,Clear,3724.4,0.88,65.68,0.412,12.4,0.639,1
Pothole,Gravel,Overcast,4585.1,1.55,84.53,0.372,9.7,0.56,1
Normal Clear,Concrete,Clear,152.9,1.02,13.05,0.133,0.0,0.02,0
Surface Crack,Concrete,Clear,1720.5,4.91,46.84,0.626,1.3,0.51,1
Surface Crack,Asphalt,Overcast,2732.2,4.77,37.52,0.79,2.8,0.597,1
Normal Clear,Concrete,Clear,107.0,0.78,10.45,0.079,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,4209.7,0.64,88.66,0.398,15.7,0.718,1
Normal Clear,Asphalt,Clear,281.7,0.76,10.17,0.091,0.0,0.02,0
Surface Crack,Asphalt,Clear,1527.3,5.4,43.6,0.558,2.0,0.534,1
Normal Clear,Asphalt,Clear,46.0,0.69,13.44,0.081,0.0,0.02,0
Road Debris,Concrete,Clear,2310.9,1.35,75.12,0.251,7.0,0.523,1
Normal Clear,Asphalt,Clear,139.1,0.44,7.58,0.076,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,154.7,1.07,15.07,0.053,0.0,0.02,0
Surface Crack,Asphalt,Rainy,1824.1,3.25,37.49,0.563,1.9,0.52,1
Normal Clear,Asphalt,Overcast,113.8,0.36,10.02,0.081,0.0,0.02,0
Surface Crack,Asphalt,Clear,1718.3,5.98,49.6,0.703,1.2,0.423,1
Surface Crack,Asphalt,Rainy,1692.6,3.75,48.15,0.581,1.4,0.412,1
Surface Crack,Concrete,Rainy,1320.1,1.81,34.79,0.737,0.7,0.415,1
Road Debris,Asphalt,Overcast,2179.8,1.72,54.98,0.193,3.9,0.503,1
Pothole,Asphalt,Clear,4924.8,1.77,85.16,0.467,14.2,0.645,1
Road Debris,Asphalt,Rainy,3134.4,2.41,62.59,0.284,5.4,0.388,1
Road Debris,Concrete,Overcast,1870.2,1.4,52.13,0.283,5.7,0.485,1
Normal Clear,Asphalt,Clear,160.2,0.66,8.94,0.063,0.0,0.02,0
Normal Clear,Asphalt,Overcast,119.6,1.0,12.5,0.067,0.0,0.02,0
Surface Crack,Asphalt,Clear,1396.5,3.78,56.54,0.504,2.2,0.573,1
Surface Crack,Asphalt,Night / Low Light,1283.6,2.6,37.36,0.692,2.4,0.594,1
Pothole,Asphalt,Overcast,2579.9,0.93,69.58,0.477,6.5,0.367,1
Pothole,Concrete,Night / Low Light,4912.0,1.43,54.03,0.381,15.4,0.728,1
Pothole,Asphalt,Clear,5967.8,1.58,65.39,0.367,16.8,0.894,1
Surface Crack,Asphalt,Clear,849.7,2.51,46.25,0.638,1.2,0.459,1
Pothole,Concrete,Overcast,4873.2,1.73,56.1,0.537,7.6,0.455,1
Normal Clear,Concrete,Rainy,131.4,0.77,10.01,0.096,0.0,0.02,0
Road Debris,Asphalt,Clear,2493.8,1.95,69.36,0.229,5.4,0.628,1
Surface Crack,Asphalt,Night / Low Light,1298.4,2.71,39.97,0.703,2.0,0.526,1
Road Debris,Asphalt,Rainy,4217.2,1.6,28.41,0.318,11.9,0.529,1
Pothole,Asphalt,Clear,3194.3,1.3,76.46,0.393,7.8,0.48,1
Surface Crack,Concrete,Clear,1607.3,4.97,38.87,0.696,2.8,0.492,1
Road Debris,Concrete,Clear,2822.5,2.27,54.46,0.21,9.5,0.522,1
Surface Crack,Gravel,Rainy,1150.8,2.75,61.03,0.617,3.3,0.614,1
Surface Crack,Asphalt,Rainy,1176.7,5.77,41.38,0.74,2.1,0.487,1
Normal Clear,Asphalt,Rainy,229.1,1.02,10.74,0.082,0.0,0.02,0
Normal Clear,Asphalt,Overcast,145.3,0.67,18.21,0.087,0.0,0.02,0
Road Debris,Concrete,Overcast,1453.2,0.67,31.72,0.346,11.1,0.485,1
Road Debris,Asphalt,Rainy,3548.6,1.36,49.88,0.281,10.0,0.465,1
Road Debris,Asphalt,Clear,2991.9,1.54,54.16,0.206,11.8,0.555,1
Pothole,Concrete,Night / Low Light,5436.2,1.37,59.99,0.454,12.5,0.614,1
Surface Crack,Concrete,Clear,2695.7,4.59,40.73,0.67,1.9,0.425,1
Pothole,Concrete,Rainy,5709.8,0.97,63.51,0.438,8.0,0.554,1
Surface Crack,Asphalt,Rainy,2804.4,4.04,52.77,0.62,0.6,0.34,1
Road Debris,Concrete,Clear,1724.1,1.88,50.76,0.311,9.8,0.479,1
Pothole,Concrete,Overcast,2713.6,1.2,55.69,0.452,6.7,0.386,1
Normal Clear,Asphalt,Clear,195.4,1.01,12.01,0.013,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,216.2,0.97,13.03,0.088,0.0,0.02,0
Normal Clear,Asphalt,Clear,111.5,0.95,8.89,0.121,0.0,0.02,0
Road Debris,Gravel,Overcast,498.5,1.12,51.78,0.39,6.8,0.571,1
Normal Clear,Asphalt,Clear,182.6,0.73,6.9,0.085,0.0,0.02,0
Pothole,Asphalt,Clear,2849.6,0.6,74.39,0.446,14.3,0.76,1
Normal Clear,Asphalt,Clear,135.4,0.76,13.26,0.042,0.0,0.02,0
Pothole,Concrete,Clear,3154.1,0.95,52.99,0.513,14.4,0.697,1
Normal Clear,Asphalt,Clear,60.1,0.8,12.32,0.076,0.0,0.02,0
Pothole,Asphalt,Rainy,5123.6,1.16,83.18,0.394,8.0,0.568,1
Normal Clear,Asphalt,Clear,68.7,1.0,12.47,0.071,0.0,0.02,0
Normal Clear,Gravel,Clear,219.2,0.76,10.21,0.055,0.0,0.02,0
Pothole,Asphalt,Clear,5735.9,0.89,46.01,0.455,13.8,0.775,1
Surface Crack,Asphalt,Overcast,2283.9,4.68,26.58,0.635,1.7,0.466,1
Normal Clear,Concrete,Night / Low Light,117.1,0.96,12.69,0.137,0.0,0.02,0
Surface Crack,Asphalt,Night / Low Light,2148.5,3.88,32.48,0.653,1.0,0.441,1
Normal Clear,Gravel,Night / Low Light,212.9,1.35,10.73,0.03,0.0,0.02,0
Road Debris,Asphalt,Clear,3256.3,1.39,64.43,0.317,7.3,0.492,1
Surface Crack,Asphalt,Clear,1273.4,3.28,48.99,0.623,1.7,0.435,1
Surface Crack,Asphalt,Clear,1336.7,3.35,51.56,0.538,1.7,0.496,1
Pothole,Asphalt,Overcast,7130.6,0.72,71.76,0.385,10.0,0.697,1
Normal Clear,Concrete,Overcast,86.3,1.06,8.71,0.059,0.0,0.02,0
Surface Crack,Asphalt,Rainy,1677.8,3.17,61.63,0.596,2.4,0.574,1
Road Debris,Concrete,Clear,1295.5,1.61,63.66,0.323,5.8,0.495,1
Surface Crack,Asphalt,Clear,2041.3,4.0,43.14,0.644,0.6,0.374,1
Road Debris,Asphalt,Clear,3004.0,1.71,60.25,0.278,9.8,0.43,1
Normal Clear,Asphalt,Rainy,179.8,1.01,20.08,0.074,0.0,0.02,0
Normal Clear,Gravel,Clear,184.8,1.0,6.45,0.064,0.0,0.02,0
Surface Crack,Asphalt,Overcast,2328.3,3.32,27.24,0.647,2.1,0.55,1
Normal Clear,Asphalt,Clear,73.4,1.17,14.18,0.076,0.0,0.02,0
Normal Clear,Asphalt,Overcast,186.4,0.95,12.6,0.037,0.0,0.02,0
Road Debris,Asphalt,Night / Low Light,2269.4,1.87,41.69,0.349,6.1,0.298,1
Normal Clear,Asphalt,Night / Low Light,212.3,1.1,7.54,0.033,0.0,0.02,0
Pothole,Gravel,Rainy,3841.9,1.39,68.04,0.337,13.0,0.751,1
Pothole,Asphalt,Rainy,5378.4,1.17,60.23,0.482,16.2,0.822,1
Normal Clear,Concrete,Rainy,124.6,0.95,10.21,0.072,0.0,0.02,0
Surface Crack,Asphalt,Rainy,2053.9,1.64,44.41,0.685,1.2,0.398,1
Normal Clear,Concrete,Rainy,131.3,1.12,9.19,0.161,0.0,0.02,0
Normal Clear,Gravel,Overcast,219.3,1.28,7.87,0.019,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,4093.1,1.29,66.06,0.378,8.9,0.435,1
Normal Clear,Gravel,Night / Low Light,179.6,0.81,17.48,0.066,0.0,0.02,0
Surface Crack,Asphalt,Overcast,1260.4,4.47,57.86,0.692,2.4,0.615,1
Road Debris,Gravel,Clear,3061.3,1.5,54.98,0.331,4.4,0.336,1
Road Debris,Concrete,Clear,2435.8,2.0,66.72,0.334,11.0,0.431,1
Normal Clear,Asphalt,Rainy,172.9,1.07,16.09,0.102,0.0,0.02,0
Pothole,Asphalt,Rainy,4724.6,0.95,58.52,0.553,10.3,0.606,1
Surface Crack,Asphalt,Overcast,1350.1,6.13,54.38,0.69,1.0,0.454,1
Normal Clear,Asphalt,Clear,183.9,0.62,9.71,0.046,0.0,0.02,0
Normal Clear,Asphalt,Rainy,80.9,1.0,3.55,0.11,0.0,0.02,0
Normal Clear,Asphalt,Rainy,187.2,1.32,7.73,0.051,0.0,0.02,0
Pothole,Asphalt,Clear,5762.6,1.54,84.18,0.512,17.6,0.944,1
Surface Crack,Concrete,Rainy,2252.7,2.14,43.29,0.557,3.0,0.57,1
Surface Crack,Asphalt,Overcast,1736.3,2.5,50.31,0.662,1.2,0.415,1
Normal Clear,Asphalt,Clear,47.5,1.25,13.99,0.091,0.0,0.02,0
Pothole,Asphalt,Rainy,6018.2,0.82,47.17,0.451,7.8,0.502,1
Pothole,Asphalt,Rainy,4660.2,1.12,59.66,0.415,9.6,0.521,1
Normal Clear,Asphalt,Clear,114.8,1.11,11.37,0.099,0.0,0.02,0
Pothole,Asphalt,Clear,1440.6,0.95,74.67,0.395,8.7,0.323,1
Normal Clear,Gravel,Overcast,172.6,1.12,14.71,0.111,0.0,0.02,0
Normal Clear,Concrete,Clear,91.9,1.11,19.06,0.122,0.0,0.02,0
Normal Clear,Asphalt,Clear,244.6,1.05,9.63,0.01,0.0,0.02,0
Surface Crack,Concrete,Clear,1054.4,3.22,42.24,0.571,2.3,0.548,1
Pothole,Asphalt,Night / Low Light,2473.7,1.44,78.9,0.457,6.4,0.259,1
Normal Clear,Concrete,Rainy,124.8,1.14,10.29,0.025,0.0,0.02,0
Normal Clear,Concrete,Rainy,105.6,0.73,13.98,0.084,0.0,0.02,0
Normal Clear,Asphalt,Clear,71.9,0.67,9.1,0.081,0.0,0.02,0
Pothole,Asphalt,Overcast,3693.8,1.31,71.79,0.463,16.0,0.709,1
Normal Clear,Asphalt,Clear,184.5,0.97,11.67,0.083,0.0,0.02,0
Normal Clear,Asphalt,Clear,112.3,0.89,17.51,0.14,0.0,0.02,0
Normal Clear,Concrete,Rainy,229.6,0.74,6.32,0.044,0.0,0.02,0
Normal Clear,Asphalt,Clear,156.7,0.44,9.64,0.122,0.0,0.02,0
Normal Clear,Concrete,Overcast,199.1,0.9,10.27,0.097,0.0,0.02,0
Road Debris,Gravel,Overcast,3341.7,1.29,52.66,0.266,6.5,0.452,1
Pothole,Asphalt,Clear,3942.0,1.66,62.59,0.44,8.6,0.583,1
Surface Crack,Concrete,Overcast,1401.5,2.82,34.94,0.622,3.4,0.626,1
Pothole,Concrete,Night / Low Light,5896.1,1.45,82.19,0.369,11.2,0.631,1
Surface Crack,Gravel,Overcast,2197.4,6.14,24.2,0.526,2.0,0.572,1
Surface Crack,Gravel,Clear,413.8,4.12,51.74,0.718,2.4,0.621,1
Pothole,Concrete,Rainy,4016.5,1.22,57.58,0.402,5.4,0.363,1
Surface Crack,Asphalt,Clear,2624.2,3.1,51.78,0.564,2.3,0.493,1
Pothole,Concrete,Overcast,4258.6,1.6,71.51,0.414,5.6,0.273,1
Normal Clear,Asphalt,Clear,131.2,0.95,10.1,0.116,0.0,0.02,0
Normal Clear,Concrete,Rainy,170.7,1.49,14.14,0.097,0.0,0.02,0
Pothole,Gravel,Clear,4826.4,1.12,60.2,0.401,17.2,0.868,1
Normal Clear,Asphalt,Clear,82.9,0.94,15.08,0.122,0.0,0.02,0
Road Debris,Asphalt,Rainy,2271.2,1.24,58.2,0.236,6.8,0.373,1
Surface Crack,Asphalt,Overcast,1324.4,3.19,41.38,0.75,2.4,0.53,1
Pothole,Asphalt,Rainy,5455.6,1.12,58.27,0.48,13.0,0.74,1
Road Debris,Asphalt,Overcast,3239.1,1.24,58.07,0.333,4.8,0.354,1
Normal Clear,Concrete,Clear,144.7,1.1,19.37,0.068,0.0,0.02,0
Normal Clear,Gravel,Rainy,33.1,1.1,12.67,0.058,0.0,0.02,0
Pothole,Gravel,Rainy,4976.7,1.44,56.64,0.396,15.4,0.806,1
Pothole,Asphalt,Clear,5209.0,1.02,86.86,0.521,5.2,0.425,1
Surface Crack,Concrete,Rainy,910.9,3.97,54.82,0.514,0.6,0.279,1
Surface Crack,Concrete,Night / Low Light,2213.3,2.84,48.29,0.731,3.4,0.707,1
Pothole,Asphalt,Rainy,4197.9,1.34,68.52,0.409,12.4,0.704,1
Surface Crack,Asphalt,Night / Low Light,1900.6,3.28,44.04,0.813,2.9,0.577,1
Normal Clear,Asphalt,Rainy,103.9,1.0,14.55,0.075,0.0,0.02,0
Normal Clear,Gravel,Clear,113.6,0.78,15.42,0.107,0.0,0.02,0
Surface Crack,Asphalt,Clear,1675.2,4.64,21.28,0.783,3.3,0.659,1
Normal Clear,Concrete,Rainy,175.0,1.06,10.41,0.068,0.0,0.02,0
Surface Crack,Asphalt,Clear,1767.4,3.99,41.61,0.744,2.7,0.554,1
Surface Crack,Concrete,Clear,1602.5,2.36,52.44,0.681,1.9,0.515,1
Pothole,Asphalt,Clear,5245.5,1.21,36.1,0.441,7.5,0.535,1
Road Debris,Asphalt,Rainy,2271.4,1.74,52.41,0.394,9.4,0.452,1
Normal Clear,Asphalt,Clear,114.0,1.21,7.62,0.099,0.0,0.02,0
Road Debris,Asphalt,Night / Low Light,1773.2,1.48,39.75,0.347,5.6,0.485,1
Surface Crack,Concrete,Rainy,1759.9,4.59,36.37,0.676,1.4,0.511,1
Road Debris,Asphalt,Clear,3202.3,1.52,49.38,0.253,7.0,0.512,1
Pothole,Concrete,Night / Low Light,4289.9,1.23,73.29,0.54,15.7,0.821,1
Normal Clear,Asphalt,Rainy,126.2,0.96,8.68,0.089,0.0,0.02,0
Road Debris,Asphalt,Rainy,2280.9,1.64,45.15,0.327,11.5,0.517,1
Surface Crack,Asphalt,Rainy,1925.1,1.34,65.09,0.648,3.4,0.675,1
Road Debris,Asphalt,Clear,2030.9,1.28,63.0,0.353,6.7,0.619,1
Road Debris,Gravel,Night / Low Light,2702.1,1.43,45.58,0.33,9.0,0.551,1
Pothole,Asphalt,Clear,4885.5,1.3,54.84,0.345,10.7,0.714,1
Normal Clear,Concrete,Overcast,164.8,1.16,7.64,0.08,0.0,0.02,0
Pothole,Gravel,Overcast,4183.6,1.23,61.46,0.523,5.3,0.303,1
Normal Clear,Asphalt,Rainy,176.0,1.25,17.08,0.059,0.0,0.02,0
Normal Clear,Asphalt,Clear,35.3,1.07,17.27,0.032,0.0,0.02,0
Normal Clear,Concrete,Clear,131.3,1.07,8.64,0.028,0.0,0.02,0
Road Debris,Gravel,Clear,1830.7,1.27,36.14,0.364,11.4,0.655,1
Road Debris,Gravel,Rainy,20.0,2.22,61.84,0.254,3.4,0.23,1
Pothole,Asphalt,Clear,4135.1,1.39,70.86,0.483,11.3,0.585,1
Normal Clear,Concrete,Rainy,239.5,0.92,13.51,0.082,0.0,0.02,0
Pothole,Asphalt,Clear,3322.1,1.93,84.35,0.435,12.6,0.642,1
Surface Crack,Gravel,Overcast,1839.8,2.17,56.74,0.757,0.5,0.418,1
Surface Crack,Gravel,Clear,2804.2,3.55,57.2,0.649,1.9,0.478,1
Pothole,Asphalt,Overcast,3471.3,0.58,74.89,0.481,9.3,0.452,1
Road Debris,Asphalt,Overcast,3631.9,1.74,48.62,0.38,7.7,0.607,1
Pothole,Asphalt,Rainy,4326.2,1.1,77.9,0.497,13.2,0.599,1
Normal Clear,Asphalt,Night / Low Light,210.8,0.76,12.72,0.096,0.0,0.02,0
Surface Crack,Concrete,Clear,1962.5,2.52,53.6,0.662,1.6,0.548,1
Pothole,Asphalt,Rainy,2761.6,1.74,70.41,0.426,5.7,0.313,1
Road Debris,Asphalt,Clear,3499.4,0.99,50.2,0.248,9.0,0.43,1
Pothole,Asphalt,Clear,4807.6,0.87,70.93,0.398,5.5,0.339,1
Pothole,Gravel,Rainy,5189.8,1.35,67.9,0.425,16.2,0.818,1
Normal Clear,Asphalt,Rainy,148.3,1.25,19.37,0.098,0.0,0.02,0
Pothole,Asphalt,Rainy,3793.2,1.21,66.82,0.408,14.1,0.698,1
Normal Clear,Asphalt,Clear,154.6,0.64,18.13,0.039,0.0,0.02,0
Pothole,Gravel,Clear,3882.2,1.6,65.19,0.324,14.8,0.708,1
Pothole,Concrete,Clear,5366.9,1.12,74.73,0.417,8.2,0.508,1
Normal Clear,Asphalt,Clear,239.2,0.82,9.67,0.044,0.0,0.02,0
Surface Crack,Asphalt,Clear,2167.3,5.12,54.44,0.525,2.8,0.507,1
Pothole,Asphalt,Clear,5118.1,1.37,78.81,0.432,15.5,0.784,1
Surface Crack,Asphalt,Clear,1051.0,3.3,54.67,0.682,0.6,0.45,1
Pothole,Asphalt,Overcast,5886.7,1.7,81.61,0.346,7.3,0.552,1
Normal Clear,Gravel,Clear,142.2,1.01,17.72,0.115,0.0,0.02,0
Surface Crack,Asphalt,Night / Low Light,2123.1,2.23,31.5,0.674,1.9,0.481,1
Normal Clear,Concrete,Clear,192.2,0.93,12.41,0.061,0.0,0.02,0
Normal Clear,Asphalt,Overcast,209.7,1.15,8.72,0.064,0.0,0.02,0
Surface Crack,Concrete,Rainy,1392.3,1.75,38.9,0.473,1.7,0.515,1
Normal Clear,Concrete,Clear,160.4,1.04,19.67,0.107,0.0,0.02,0
Surface Crack,Asphalt,Rainy,2665.0,4.12,37.18,0.663,2.9,0.627,1
Normal Clear,Asphalt,Clear,177.6,0.88,8.7,0.082,0.0,0.02,0
Pothole,Asphalt,Rainy,2231.9,1.11,56.21,0.374,13.9,0.597,1
Normal Clear,Asphalt,Clear,124.8,1.01,12.99,0.065,0.0,0.02,0
Surface Crack,Asphalt,Overcast,2272.1,4.45,54.12,0.642,1.0,0.371,1
Surface Crack,Asphalt,Clear,1564.1,3.11,50.5,0.688,0.7,0.32,1
Road Debris,Gravel,Clear,1228.7,1.62,61.77,0.265,7.0,0.456,1
Normal Clear,Asphalt,Night / Low Light,242.1,0.79,12.75,0.029,0.0,0.02,0
Pothole,Concrete,Clear,3376.6,1.14,71.24,0.519,6.9,0.379,1
Pothole,Asphalt,Overcast,6478.1,1.43,83.67,0.498,13.9,0.813,1
Normal Clear,Concrete,Rainy,163.8,0.98,11.82,0.058,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,164.1,1.08,15.94,0.092,0.0,0.02,0
Normal Clear,Concrete,Clear,194.1,0.85,17.69,0.073,0.0,0.02,0
Normal Clear,Asphalt,Overcast,47.6,0.92,14.31,0.082,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,52.9,1.04,12.51,0.051,0.0,0.02,0
Normal Clear,Asphalt,Clear,178.2,0.97,4.2,0.101,0.0,0.02,0
Surface Crack,Asphalt,Clear,1904.9,5.46,38.08,0.627,2.7,0.623,1
Pothole,Asphalt,Clear,3301.4,0.83,87.12,0.337,5.5,0.211,1
Normal Clear,Asphalt,Overcast,122.1,0.86,8.05,0.086,0.0,0.02,0
Road Debris,Asphalt,Clear,1177.2,1.98,64.14,0.382,11.0,0.447,1
Pothole,Concrete,Rainy,3817.4,1.24,59.52,0.406,14.5,0.673,1
Surface Crack,Asphalt,Clear,371.8,2.78,26.12,0.563,2.1,0.585,1
Normal Clear,Asphalt,Clear,99.6,0.73,11.19,0.153,0.0,0.02,0
Road Debris,Concrete,Rainy,2914.2,2.18,52.46,0.382,6.9,0.389,1
Surface Crack,Asphalt,Overcast,2207.9,5.49,33.76,0.644,2.3,0.507,1
Surface Crack,Asphalt,Rainy,1835.8,1.8,41.59,0.681,1.3,0.45,1
Pothole,Asphalt,Overcast,4919.5,1.04,72.09,0.195,8.4,0.578,1
Surface Crack,Gravel,Rainy,1719.2,5.18,44.2,0.63,1.2,0.434,1
Surface Crack,Concrete,Clear,2285.4,4.15,68.09,0.775,2.2,0.553,1
Pothole,Concrete,Clear,4320.0,1.4,54.38,0.395,8.7,0.485,1
Normal Clear,Asphalt,Rainy,187.4,1.53,8.45,0.099,0.0,0.02,0
Surface Crack,Concrete,Overcast,1892.3,5.04,50.09,0.769,1.3,0.444,1
Normal Clear,Asphalt,Overcast,203.9,1.24,2.96,0.062,0.0,0.02,0
Normal Clear,Asphalt,Clear,99.0,1.03,3.94,0.019,0.0,0.02,0
Pothole,Asphalt,Clear,7104.1,1.39,69.45,0.449,16.4,1.0,1
Normal Clear,Asphalt,Clear,195.9,0.63,17.62,0.086,0.0,0.02,0
Surface Crack,Asphalt,Overcast,2643.5,3.45,36.5,0.525,1.3,0.483,1
Normal Clear,Asphalt,Overcast,156.7,1.31,18.37,0.011,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,4799.6,0.24,77.54,0.509,17.3,0.857,1
Normal Clear,Asphalt,Clear,138.8,0.87,12.46,0.027,0.0,0.02,0
Road Debris,Concrete,Rainy,2783.9,1.46,63.41,0.282,5.9,0.56,1
Surface Crack,Asphalt,Rainy,681.6,5.24,41.34,0.684,1.8,0.443,1
Pothole,Concrete,Clear,6472.2,1.24,64.44,0.396,12.6,0.767,1
Normal Clear,Asphalt,Rainy,228.3,1.12,17.8,0.075,0.0,0.02,0
Normal Clear,Concrete,Clear,165.0,0.94,6.84,0.116,0.0,0.02,0
Surface Crack,Asphalt,Clear,2119.0,3.82,44.98,0.499,2.4,0.517,1
Road Debris,Asphalt,Overcast,2447.7,1.34,46.81,0.337,6.0,0.485,1
Surface Crack,Asphalt,Night / Low Light,813.8,3.77,47.25,0.551,3.5,0.638,1
Normal Clear,Asphalt,Clear,96.2,0.9,12.95,0.062,0.0,0.02,0
Pothole,Concrete,Rainy,3929.4,1.23,61.92,0.336,5.7,0.303,1
Normal Clear,Asphalt,Clear,179.9,1.29,7.68,0.067,0.0,0.02,0
Surface Crack,Asphalt,Night / Low Light,2629.5,4.31,50.37,0.545,3.5,0.638,1
Surface Crack,Concrete,Night / Low Light,1549.0,4.63,43.66,0.773,2.0,0.483,1
Pothole,Concrete,Night / Low Light,4714.8,0.97,83.33,0.437,17.8,0.847,1
Pothole,Asphalt,Night / Low Light,5658.9,1.52,80.46,0.483,5.2,0.468,1
Road Debris,Asphalt,Clear,2760.8,1.18,54.54,0.337,11.6,0.556,1
Pothole,Asphalt,Clear,5601.1,0.82,81.16,0.415,6.0,0.546,1
Normal Clear,Asphalt,Rainy,133.5,1.16,7.7,0.111,0.0,0.02,0
Pothole,Asphalt,Clear,6124.3,1.2,68.73,0.359,16.8,0.939,1
Surface Crack,Gravel,Night / Low Light,1378.5,3.78,40.28,0.678,1.1,0.476,1
Surface Crack,Asphalt,Clear,2295.8,3.77,56.75,0.728,1.5,0.421,1
Pothole,Asphalt,Clear,3587.7,0.67,71.23,0.565,14.3,0.727,1
Pothole,Asphalt,Clear,5105.7,1.0,70.04,0.379,9.4,0.594,1
Surface Crack,Gravel,Overcast,2851.9,3.97,49.61,0.555,2.3,0.576,1
Surface Crack,Concrete,Clear,1628.9,2.63,43.54,0.581,3.0,0.658,1
Surface Crack,Asphalt,Rainy,1555.8,3.94,62.2,0.662,0.7,0.362,1
Road Debris,Concrete,Clear,3370.0,2.1,39.52,0.279,6.3,0.484,1
Road Debris,Asphalt,Clear,2821.2,1.42,54.51,0.29,6.0,0.543,1
Pothole,Asphalt,Rainy,4570.2,1.47,52.87,0.441,11.0,0.629,1
Surface Crack,Asphalt,Night / Low Light,2288.3,4.7,30.18,0.662,2.1,0.483,1
Normal Clear,Asphalt,Rainy,155.6,1.3,13.43,0.077,0.0,0.02,0
Road Debris,Asphalt,Overcast,2633.7,1.01,58.06,0.18,7.5,0.526,1
Normal Clear,Gravel,Clear,117.0,1.25,14.54,0.072,0.0,0.02,0
Surface Crack,Asphalt,Clear,1476.7,2.8,48.0,0.608,1.5,0.459,1
Normal Clear,Gravel,Overcast,171.8,1.11,15.56,0.09,0.0,0.02,0
Normal Clear,Asphalt,Clear,158.6,1.37,5.9,0.131,0.0,0.02,0
Road Debris,Asphalt,Rainy,2239.2,1.73,51.74,0.258,10.3,0.398,1
Normal Clear,Asphalt,Night / Low Light,173.4,1.0,17.93,0.012,0.0,0.02,0
Pothole,Asphalt,Clear,4749.7,1.08,77.72,0.398,14.0,0.72,1
Pothole,Asphalt,Night / Low Light,3218.2,1.36,71.83,0.358,13.5,0.713,1
Normal Clear,Asphalt,Clear,129.9,0.87,18.55,0.098,0.0,0.02,0
Normal Clear,Asphalt,Clear,112.9,0.98,12.34,0.077,0.0,0.02,0
Pothole,Asphalt,Clear,4149.3,1.57,74.34,0.6,15.2,0.833,1
Pothole,Concrete,Overcast,7317.6,1.38,80.51,0.424,7.3,0.567,1
Pothole,Asphalt,Clear,4042.7,1.1,82.83,0.437,5.5,0.265,1
Surface Crack,Asphalt,Night / Low Light,2591.5,3.97,32.94,0.525,1.5,0.369,1
Normal Clear,Asphalt,Overcast,130.6,0.66,5.58,0.073,0.0,0.02,0
Road Debris,Gravel,Rainy,2782.3,1.14,58.61,0.307,8.3,0.554,1
Surface Crack,Concrete,Rainy,654.1,2.92,48.82,0.518,3.4,0.679,1
Surface Crack,Asphalt,Rainy,1614.1,2.45,32.8,0.828,2.7,0.551,1
Pothole,Asphalt,Clear,7504.4,0.54,77.01,0.263,11.8,0.832,1
Surface Crack,Asphalt,Rainy,2392.5,4.63,39.09,0.679,2.1,0.483,1
Road Debris,Gravel,Rainy,4133.4,1.26,65.58,0.321,5.8,0.513,1
Normal Clear,Concrete,Overcast,65.1,0.76,19.43,0.082,0.0,0.02,0
Normal Clear,Asphalt,Overcast,202.9,1.37,10.16,0.091,0.0,0.02,0
Pothole,Asphalt,Overcast,2140.0,1.02,74.91,0.405,13.7,0.647,1
Normal Clear,Asphalt,Overcast,178.5,1.15,15.94,0.038,0.0,0.02,0
Normal Clear,Gravel,Rainy,162.7,1.34,11.6,0.095,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,189.0,0.79,19.34,0.095,0.0,0.02,0
Surface Crack,Asphalt,Overcast,2111.7,1.97,51.36,0.701,1.9,0.444,1
Surface Crack,Asphalt,Clear,2431.8,3.14,40.62,0.617,1.3,0.43,1
Surface Crack,Concrete,Overcast,2574.1,5.26,43.43,0.611,2.2,0.481,1
Pothole,Concrete,Clear,2401.5,0.99,62.75,0.46,14.3,0.543,1
Pothole,Concrete,Rainy,4734.5,1.25,50.9,0.304,14.6,0.737,1
Pothole,Asphalt,Night / Low Light,4074.9,1.0,50.78,0.417,14.4,0.7,1
Surface Crack,Concrete,Overcast,1328.2,3.83,59.04,0.6,0.7,0.359,1
